epoch, iters, G_GAN, G_L1, D_real, D_fake
95, 300, 2.065, 26.018, 0.568, 0.415
95, 400, 1.622, 23.893, 0.187, 0.262
96, 100, 3.059, 20.975, 0.099, 0.124
96, 200, 3.954, 18.315, 0.023, 0.03
96, 300, 3.154, 21.428, 0.169, 0.12
96, 400, 1.738, 18.135, 0.468, 0.161
97, 100, 2.82, 37.505, 0.016, 0.65
97, 200, 2.76, 23.04, 0.129, 0.143
97, 300, 3.617, 23.938, 0.077, 0.046
97, 400, 3.375, 25.56, 0.179, 0.24
98, 100, 4.619, 28.683, 0.001, 0.056
98, 200, 5.923, 32.559, 0.106, 0.007
98, 300, 3.788, 23.117, 0.047, 0.542
98, 400, 4.853, 22.29, 0.029, 1.111
99, 100, 3.027, 17.863, 0.538, 0.013
99, 200, 3.27, 22.781, 0.11, 0.111
99, 300, 2.303, 23.492, 0.428, 0.1
99, 400, 2.42, 18.439, 0.122, 0.165
100, 100, 3.982, 21.944, 0.135, 0.427
100, 200, 3.722, 20.26, 0.046, 0.745
100, 300, 1.696, 21.205, 0.938, 0.138
100, 400, 2.115, 26.36, 0.406, 0.094
101, 100, 3.52, 20.742, 0.191, 0.555
101, 200, 4.13, 15.409, 0.029, 0.437
101, 300, 2.721, 23.629, 0.146, 0.512
101, 400, 2.836, 18.729, 0.035, 0.084
102, 100, 2.693, 21.22, 0.059, 0.182
102, 200, 3.325, 21.075, 0.033, 0.158
102, 300, 3.087, 27.058, 0.687, 0.042
102, 400, 3.344, 23.877, 0.076, 0.095
103, 100, 2.676, 17.902, 0.249, 0.095
103, 200, 2.097, 23.291, 0.191, 0.375
103, 300, 1.862, 21.276, 0.338, 0.142
103, 400, 2.426, 20.789, 0.499, 0.072
104, 100, 3.052, 29.384, 0.026, 0.742
104, 200, 2.844, 25.24, 0.005, 0.083
104, 300, 0.159, 19.001, 1.348, 0.051
104, 400, 4.105, 25.288, 0.004, 0.26
105, 100, 3.077, 17.833, 0.048, 0.323
105, 200, 2.466, 30.177, 0.19, 0.12
105, 300, 4.367, 26.956, 0.021, 0.826
105, 400, 3.932, 25.545, 0.173, 0.058
106, 100, 2.719, 27.645, 0.248, 0.085
106, 200, 2.333, 17.715, 0.414, 0.136
106, 300, 2.442, 16.832, 0.57, 0.027
106, 400, 3.218, 21.543, 0.843, 0.01
107, 100, 3.232, 16.768, 0.05, 0.141
107, 200, 1.797, 21.115, 0.686, 0.093
107, 300, 3.635, 25.167, 0.017, 0.09
107, 400, 3.009, 18.131, 0.28, 0.033
108, 100, 3.449, 21.493, 0.543, 0.006
108, 200, 1.957, 14.996, 1.217, 0.031
108, 300, 3.777, 24.774, 0.04, 0.728
108, 400, 3.247, 26.655, 0.001, 0.272
109, 100, 2.123, 20.399, 0.079, 0.393
109, 200, 1.887, 15.148, 0.682, 0.13
109, 300, 4.148, 28.556, 0.008, 0.613
109, 400, 3.724, 24.685, 0.019, 0.091
110, 100, 4.968, 23.609, 0.007, 0.837
110, 200, 3.679, 26.901, 0.0, 1.398
110, 300, 2.935, 26.478, 0.184, 0.394
110, 400, 4.281, 27.812, 0.051, 0.038
111, 100, 1.706, 22.621, 0.507, 0.612
111, 200, 3.484, 19.865, 0.141, 0.056
111, 300, 2.29, 20.715, 0.297, 0.074
111, 400, 1.522, 22.086, 0.862, 0.056
112, 100, 2.912, 17.28, 0.17, 0.033
112, 200, 2.973, 22.597, 0.072, 0.134
112, 300, 2.618, 18.828, 0.047, 0.075
112, 400, 3.11, 26.843, 1.215, 0.02
113, 100, 3.165, 30.217, 0.031, 0.101
113, 200, 3.144, 28.751, 0.007, 0.103
